,motif,score,task
138,ETS,0.0080344863236,"K562, real motif"
139,ETS,0.00618177838624,"K562, real motif"
140,ETS,0.00752161862329,"K562, real motif"
141,ETS,0.0107958503067,"K562, real motif"
142,ETS,0.00703043490648,"K562, real motif"
143,ETS,0.00776159344241,"K562, real motif"
144,ETS,0.0114673515782,"K562, real motif"
145,ETS,0.012289699167,"K562, real motif"
146,ETS,0.00915560871363,"K562, real motif"
147,ETS,0.0109769888222,"K562, real motif"
148,ETS,0.00617195852101,"K562, real motif"
149,ETS,0.0109040820971,"K562, real motif"
150,ETS,0.00908435508609,"K562, real motif"
151,ETS,0.00877826754004,"K562, real motif"
152,ETS,0.00658013252541,"K562, real motif"
153,ETS,0.00780568225309,"K562, real motif"
154,ETS,0.00828671082854,"K562, real motif"
155,ETS,0.00490331090987,"K562, real motif"
156,ETS,0.0084138577804,"K562, real motif"
157,ETS,0.00928481388837,"K562, real motif"
158,ETS,0.0106334928423,"K562, real motif"
159,ETS,0.00910797901452,"K562, real motif"
160,ETS,0.0105399955064,"K562, real motif"
161,ETS,0.0136066442356,"K562, real motif"
162,ETS,0.0142971714959,"K562, real motif"
163,ETS,0.012315666303,"K562, real motif"
164,ETS,0.0101061621681,"K562, real motif"
165,ETS,0.0148015236482,"K562, real motif"
166,ETS,0.0135030709207,"K562, real motif"
167,ETS,0.0154994400218,"K562, real motif"
168,ETS,0.0141930663958,"K562, real motif"
169,ETS,0.00625438988209,"K562, real motif"
170,ETS,0.0100536607206,"K562, real motif"
171,ETS,0.00765031110495,"K562, real motif"
172,ETS,0.00713599473238,"K562, real motif"
173,ETS,0.0079051265493,"K562, real motif"
174,ETS,0.0105125010014,"K562, real motif"
175,ETS,0.00940131768584,"K562, real motif"
176,ETS,0.0116293104365,"K562, real motif"
177,ETS,0.0122427409515,"K562, real motif"
178,ETS,0.0115798469633,"K562, real motif"
179,ETS,0.0113375270739,"K562, real motif"
180,ETS,0.0128781190142,"K562, real motif"
181,ETS,0.00996201578528,"K562, real motif"
182,ETS,0.00465519307181,"K562, real motif"
183,ETS,0.00906851887703,"K562, real motif"
184,ETS,0.0125807672739,"K562, real motif"
185,ETS,0.00714209862053,"K562, real motif"
186,ETS,0.011259758845,"K562, real motif"
187,ETS,0.0100849531591,"K562, real motif"
188,ETS,0.0124892182648,"K562, real motif"
189,ETS,0.0134843951091,"K562, real motif"
190,ETS,0.0096346475184,"K562, real motif"
191,ETS,0.00687816319987,"K562, real motif"
192,ETS,0.0111013343558,"K562, real motif"
193,ETS,0.0095715392381,"K562, real motif"
194,ETS,0.0104866027832,"K562, real motif"
195,ETS,0.0117756668478,"K562, real motif"
196,ETS,-0.00412697950378,"K562, real motif"
197,ETS,-0.00354894110933,"K562, real motif"
198,ETS,-0.00120029679965,"K562, real motif"
199,ETS,-0.00480259023607,"K562, real motif"
200,ETS,-0.003382116789,"K562, real motif"
201,ETS,-0.000992657616735,"K562, real motif"
202,ETS,-0.000289595773211,"K562, real motif"
203,ETS,0.00180468906183,"K562, real motif"
204,ETS,-0.00615444965661,"K562, real motif"
205,ETS,-0.00182145787403,"K562, real motif"
206,ETS,-0.00196462217718,"K562, real motif"
207,ETS,0.00213963724673,"K562, real motif"
208,ETS,0.000638110504951,"K562, real motif"
209,ETS,-9.35191783356e-05,"K562, real motif"
210,ETS,0.00175010086969,"K562, real motif"
211,ETS,0.00265323207714,"K562, real motif"
212,ETS,-0.00144806993194,"K562, real motif"
213,ETS,-0.00310375075787,"K562, real motif"
214,ETS,0.00137155991979,"K562, real motif"
215,ETS,0.00315034692176,"K562, real motif"
216,ETS,0.0192475337535,"K562, real motif"
217,ETS,0.021762965247,"K562, real motif"
218,ETS,0.0241994857788,"K562, real motif"
219,ETS,0.0254819374532,"K562, real motif"
220,ETS,0.0301754828542,"K562, real motif"
221,ETS,0.0207585077733,"K562, real motif"
222,ETS,0.0244205128402,"K562, real motif"
223,ETS,0.0193381495774,"K562, real motif"
224,ETS,0.0211112312973,"K562, real motif"
